OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
-,-,-,-,-,-,"1,500","1,436.15","1,541.80","1,500","17,800.00",950,2.65,7,300,-2.75,4.25,16.9,130,63,96
-,-,-,-,-,-,"1,500","1,387.85","1,525.90","1,500","17,850.00",450,4.35,-,-,-,-,-,-,-,-
-,-,-,-,-,-,"1,500","1,339.85","1,443.75","1,500","17,900.00",500,4.35,8.6,50,0.55,7.5,-,-,-,9
-,-,-,-,-,-,"1,500","1,291.95","1,395.75","1,500","17,950.00",500,5.25,10.6,50,-,5.5,-,-,-,31
-,-,-,-,-,-,"1,500","1,182.85","1,342.65","1,500","18,000.00",100,7.2,7.5,"1,600",0.5,7.5,16.36,49,32,293
-,-,-,-,-,-,"1,500","1,195.85","1,296.55","1,500","18,050.00",150,7.45,11.4,50,-1.65,4.75,-,-,-,4
-,-,-,-,-,-,"1,500","1,147.85","1,244.40","1,500","18,100.00",100,8.75,9.25,50,2.05,8.7,15.71,99,69,111
-,-,-,-,-,-,"1,500","1,100.20","1,199.85","1,500","18,150.00",50,7.1,14.7,50,-,7.65,-,-,-,1
-,-,-,-,-,-,"1,500","1,051.80","1,148.80","1,500","18,200.00",500,8.7,13.8,50,0.75,10.75,15.23,98,48,53
-,-,-,-,-,-,"1,500","1,004.05","1,098.25","1,500","18,250.00",50,7.4,13.1,100,4.1,13.1,15.25,31,2,74
-,-,-,-,-,-,"1,500",956.2,"1,052.35","1,500","18,300.00",50,12.5,17.35,50,-1.45,13.05,14.67,9,4,10
-,-,-,-,-,-,"1,500",756.75,"1,003.85","1,500","18,350.00",50,7.2,18.85,50,-,-,-,-,-,-
-,-,-,-,-,-,"1,500",853.95,953.9,"1,500","18,400.00",50,13.3,18.95,50,-2.75,12,13.3,19,8,13
-,-,-,-,-,-,"1,500",815.4,905.95,"1,500","18,450.00",50,14.1,20.95,50,-,13.5,-,-,-,26
6,5,5,-,857,-43,"1,500",753.1,855.85,"1,500","18,500.00",250,20.65,21,250,6.35,20.45,13.7,"2,472",902,"1,070"
-,-,-,-,-,-,"1,750",615.85,833.65,"1,500","18,550.00",50,15.2,44.95,50,-,-,-,-,-,-
-,-,-,-,-,-,"1,500",669.75,762.8,"1,500","18,600.00",50,16.4,27.8,50,10.25,27.55,13.45,555,222,254
-,-,-,-,-,-,"1,500",622.9,723.9,"1,500","18,650.00",50,20.2,44.95,50,-,-,-,-,-,-
-,-,-,-,-,-,"1,500",579.05,672.05,"1,500","18,700.00",50,28.45,36.9,50,13.35,35.25,13.02,"1,343",308,713
-,-,-,-,-,-,50,535.3,636,"1,500","18,750.00",500,25.15,52.3,600,-,-,-,-,-,-
-,-,-,-,-,-,"1,500",486.6,583.05,"1,500","18,800.00",50,46.25,48.65,50,20.25,48.8,12.93,"3,627",941,"1,352"
-,-,-,-,-,-,-,-,549.5,"1,500","18,850.00",500,30.3,66.65,100,-,-,-,-,-,-
-,-,-,-,-,-,-,-,515.45,"1,500","18,900.00",50,27.2,79.95,50,-,-,-,-,-,-
-,-,-,-,-,-,-,-,475.1,"1,500","18,950.00",50,30.35,89.95,50,-,-,-,-,-,-
262,164,428,5.87,379,-146.65,50,370.05,407.9,50,"19,000.00","1,650",85,86.7,50,37.5,86,12.57,"5,246",403,"2,334"
-,-,-,-,-,-,50,60.05,378.9,"1,500","19,050.00",50,97.6,99,50,4.55,97.05,12.4,640,273,275
130,125,230,7.01,304.05,-137.3,50,270.05,311.75,50,"19,100.00",100,112.15,113.9,50,45.3,113.05,12.46,"2,296",662,667
14,14,24,7.99,279.4,-422.85,50,262.4,280.4,50,"19,150.00",50,127.45,153.7,100,-56.8,121.3,11.95,284,176,176
245,211,"1,115",7.87,242.4,-109.35,"1,600",242.4,246.5,50,"19,200.00",50,146.8,147.5,50,61.85,147.5,12.42,"5,760","1,110","1,567"
262,247,"1,442",7.89,210.15,-101.4,50,210.05,214.35,50,"19,250.00",100,152.7,168.5,100,70.45,167.9,12.45,"2,305",578,629
751,674,"3,743",8.26,186.7,-95.8,100,180.85,186.6,200,"19,300.00","1,150",190,190.8,100,77.85,190,12.46,"5,543",525,"1,019"
273,229,847,8.53,164.35,-87.7,50,123.05,162.65,200,"19,350.00",50,179.55,216,150,81.75,216.75,12.64,261,18,73
835,323,"2,905",7.25,116.85,-97.65,"1,150",118.05,136.05,50,"19,400.00",50,238.35,242.15,150,87.5,239.75,12.93,"3,397",-340,583
372,304,808,8.27,113.4,-79.2,50,81.25,114.9,50,"19,450.00",50,147.2,279.65,50,102.25,268.1,12.59,340,-114,63
"1,320",699,"5,173",8.21,93.05,-69.05,50,93.05,96,50,"19,500.00",50,296.8,303.05,150,106.55,300.9,12.83,"2,398",228,580
207,139,445,8.4,79.35,-60.3,100,53.8,88.05,100,"19,550.00","1,500",265.2,386.8,100,108.15,323.4,12.37,2,-,19
756,579,"3,309",8.39,64.6,-51.55,50,62.1,64.85,100,"19,600.00",50,341.9,391.25,850,148.5,392,14.53,118,-3,62
145,50,390,8.48,53.25,-40.8,50,51.4,56,50,"19,650.00","1,500",370.75,476.45,"1,550",-,255,-,-,-,21
"2,173","1,803","5,891",8.54,43.45,-35.3,"1,050",42,43.2,200,"19,700.00","1,500",403.25,570.95,150,114.6,421.3,12.16,70,-4,52
-,-,-,-,-,-,500,13.55,78.3,600,"19,750.00","1,500",428.55,606.1,"1,500",-,-,-,-,-,-
"1,335",-557,"6,108",8.51,26.7,-23.35,250,26.5,28.95,200,"19,800.00","1,550",493.45,669.05,250,99.6,483.45,11.18,11,1,7
-,-,-,-,-,-,500,8.85,63,600,"19,850.00","1,500",523.85,689.3,"1,500",-,-,-,-,-,-
774,434,"1,936",8.92,19,-14.8,600,18.85,19,150,"19,900.00","1,500",583.75,711.85,"1,500",-,-,-,-,-,-
3,-,-,-,82.85,-,50,7.8,50.55,600,"19,950.00","1,500",622.8,777.7,"1,550",-,-,-,-,-,-
"1,363",728,"3,021",9.34,13.7,-7.95,200,13.7,13.9,350,"20,000.00","1,500",679.15,789,"1,550",122.5,696.15,15.28,32,31,31
-,-,-,-,-,-,500,5.75,39.55,600,"20,050.00","1,500",720.75,916,"1,500",-,-,-,-,-,-
-,-,-,-,-,-,500,5.15,35.95,"2,100","20,100.00","1,500",770,890.2,"1,500",-,-,-,-,-,-
-,-,-,-,-,-,500,5.05,31.7,"2,100","20,150.00","1,500",819.9,939.95,"1,500",-,-,-,-,-,-
-,-,-,-,-,-,450,4.55,26.4,"2,100","20,200.00","1,500",869.4,990.4,"1,500",-,-,-,-,-,-
-,-,-,-,-,-,400,4.5,20.7,"2,100","20,250.00","1,500",919.4,"1,044.60","1,500",-,-,-,-,-,-
-,-,-,-,-,-,600,4.4,15.6,"2,100","20,300.00","1,500",969.3,"1,092.55","1,500",-,-,-,-,-,-
-,-,-,-,-,-,150,4.25,11,"1,800","20,350.00","1,500","1,019.10","1,151.05","1,500",-,-,-,-,-,-
307,37,609,11.41,5.3,-1.75,100,5.15,8.45,600,"20,400.00","1,500","1,070.15","1,190.05","1,500",-,-,-,-,-,-
-,-,-,-,-,-,100,4.05,6.9,300,"20,450.00","1,500","1,118.90","1,248.10","1,500",-,-,-,-,-,-
246,207,321,12.22,5.1,-1.25,100,4.4,5.1,100,"20,500.00","1,500","1,169.30","1,299.05","1,500",-,-,-,-,-,-
-,-,-,-,-,-,100,3.55,6.5,100,"20,550.00","1,500","1,218.40","1,371.30","1,500",-,-,-,-,-,-
-,-,-,-,-,-,100,3.45,6.5,100,"20,600.00","1,500","1,268.30","1,426.75","1,500",-,-,-,-,-,-
15,9,10,13.27,4.5,-0.6,600,3.8,6,500,"20,650.00","1,500","1,318.65","1,484.15","1,500",-,-,-,-,-,-
32,-,15,13.33,3.75,-1,50,3.35,5,50,"20,700.00","1,500","1,368.20","1,536.20","1,000",-,-,-,-,-,-
49,39,41,13.85,3.95,0.15,100,3.95,4,50,"20,750.00","1,500","1,418.80","1,528.55","1,500",-,-,-,-,-,-
8,2,9,14.53,4.5,-,800,2.6,4,50,"20,800.00","1,500","1,467.45","1,579.80","1,500",-,-,-,-,-,-
15,3,4,14.69,4,0.5,800,2.7,4.5,150,"20,850.00","1,500","1,517.55","1,630.85","1,500",-,-,-,-,-,-
32,-,-,-,3.95,-,800,2.6,4,50,"20,900.00","1,500","1,567.45","1,682.45","1,500",-,-,-,-,-,-
-,-,-,-,-,-,"1,800",2.35,4.5,50,"20,950.00","1,500","1,617.20","1,737.25","1,500",-,-,-,-,-,-
152,2,17,15.22,2.9,-0.35,100,2.7,3.5,50,"21,000.00","1,500","1,667.65","1,789.25","1,500",-,-,-,-,-,-
86,-1,3,15.31,2.5,-0.95,50,2.5,4,50,"21,050.00","1,500","1,717.35","1,841.35","1,500",-,-,-,-,-,-
